view_mode,display_mode,pair_id,pair_label,pair_color,dataset_id,dataset_name,x_source_id,x_metric_type,x_column,x_label,y_source_id,y_metric_type,y_column,y_label,x_value,y_value,display_unit
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.47763592,-10.96,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.31987214,-9.4,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.44428602,-5.21,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.3673065,-4.85,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.5054076,-9.25,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.4177011,-9.2,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.43284383,-6.51,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.50637233,-9.43,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.3524785,-10.7,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.41871572,-10.23,nm
