view_mode,display_mode,dataset_id,dataset_name,metric_type,source_id,series_key,series_label,column,x_label,x_value,y_value,raw_unit,display_unit
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),0,0.001439924,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),100,0.10039792,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),200,0.113658264,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),300,0.1044863,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),400,0.09799421,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),500,0.1227361,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),600,0.11495067,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),700,0.12848043,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),800,0.116219796,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),900,0.12590075,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1000,0.11542767,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1100,0.11931836,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1200,0.11641142,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1300,0.11893546,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1400,0.11996823,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1500,0.10516868,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1600,0.12342677,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1700,0.107054256,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1800,0.11013301,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),1900,0.13866326,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2000,0.1212575,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2100,0.12213493,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2200,0.12017544,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2300,0.12541398,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2400,0.12694627,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2500,0.12708502,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2600,0.11531535,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2700,0.11625993,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2800,0.11858629,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),2900,0.11277924,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3000,0.11705086,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3100,0.1300563,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3200,0.13049,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3300,0.1353988,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3400,0.13011608,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3500,0.13532987,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3600,0.12922065,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3700,0.13090643,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3800,0.12860142,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),3900,0.1288551,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4000,0.12349814,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4100,0.13557862,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4200,0.15136334,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4300,0.14725995,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4400,0.14238511,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4500,0.13236341,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4600,0.13509987,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4700,0.13803758,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4800,0.13289882,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),4900,0.1476993,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5000,0.1447464,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5100,0.14899908,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5200,0.13971345,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5300,0.13972828,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5400,0.1436969,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5500,0.14675574,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5600,0.1405826,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5700,0.14321636,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5800,0.13285981,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),5900,0.13859595,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6000,0.1408552,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6100,0.14611503,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6200,0.13888364,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6300,0.142305,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6400,0.13159361,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6500,0.15057364,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6600,0.15057708,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6700,0.1696393,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6800,0.15762071,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),6900,0.15138046,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7000,0.1563097,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7100,0.14842746,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7200,0.143978,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7300,0.15649529,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7400,0.15312697,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7500,0.1491347,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7600,0.15492739,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7700,0.15345834,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7800,0.15172249,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),7900,0.15106168,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8000,0.14384474,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8100,0.14662145,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8200,0.14569584,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8300,0.14516476,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8400,0.14904778,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8500,0.16263175,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8600,0.17256574,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8700,0.17812331,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8800,0.17855929,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),8900,0.16665837,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9000,0.18899791,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9100,0.17229219,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9200,0.16437222,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9300,0.17085412,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9400,0.17408198,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9500,0.18670212,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9600,0.16948645,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9700,0.17125715,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9800,0.17072362,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),9900,0.17057174,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),10000,0.15514806,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),10100,0.15657808,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),10200,0.15788686,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),10300,0.15305924,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),10400,0.15662442,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),10500,0.17398073,nm,nm
line,overlay,sdu6-homo,sdu6-homo,rmsd,l4juofkg,l4juofkg::RMSD,sdu6-homo / RMSD,RMSD,Time (ps),10600,0.17346752,nm,nm
