view_mode,display_mode,dataset_id,dataset_name,metric_type,source_id,series_key,series_label,column,x_label,x_value,y_value,raw_unit,display_unit
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),0,202.36009,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),1000,200.12439,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),2000,201.77559,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),3000,203.91856,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),4000,204.77011,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),5000,205.65855,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),6000,202.99913,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),7000,204.70734,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),8000,207.99397,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),9000,209.7168,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),10000,211.07643,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),11000,213.68085,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),12000,211.46768,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),13000,210.96313,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),14000,212.26077,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),15000,210.637,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),16000,206.73927,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),17000,209.62102,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),18000,214.37434,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),19000,207.5313,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),20000,207.56316,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),21000,206.8618,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),22000,211.63496,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),23000,210.07803,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),24000,207.34691,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),25000,207.19788,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),26000,205.41238,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),27000,209.70522,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),28000,204.2743,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),29000,207.50734,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),30000,208.62039,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),31000,208.60526,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),32000,208.70157,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),33000,206.5513,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),34000,206.41116,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),35000,209.18971,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),36000,208.53215,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),37000,211.4243,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),38000,204.39752,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),39000,206.882,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),40000,204.26712,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),41000,205.01996,nm^2,nm^2
line,overlay,sdu6-homo,sdu6-homo,sasa,0s8c2h6s,0s8c2h6s::Total,sdu6-homo / Total,Total,Time (ps),42000,213.63643,nm^2,nm^2
