view_mode,display_mode,dataset_id,dataset_name,metric_type,source_id,series_key,series_label,column,x_label,x_value,y_value,raw_unit,display_unit
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),0,2.2241219959925096,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),1000,2.225967744275916,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),2000,2.2391137165285486,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),3000,2.228661430934069,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),4000,2.231850322999487,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),5000,2.240798363340509,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),6000,2.2259200769489134,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),7000,2.236678434502016,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),8000,2.234426827458308,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),9000,2.24222274950582,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),10000,2.2456933652784365,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),11000,2.2363615319314767,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),12000,2.243986302903769,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),13000,2.245313204919332,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),14000,2.248054665088709,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),15000,2.242251083161937,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),16000,2.2330712435785305,nm,nm
line,overlay,sdu6-homo,sdu6-homo,gyrate,48temqd2,48temqd2::Rg,sdu6-homo / Rg,Rg,Time (ps),17000,2.2434103879914327,nm,nm
