view_mode,display_mode,dataset_id,dataset_name,metric_type,source_id,series_key,series_label,column,x_label,x_value,y_value,raw_unit,display_unit
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),0,204.8855,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),1000,199.18777,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),2000,203.63908,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),3000,203.2679,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),4000,205.8125,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),5000,206.04446,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),6000,203.9966,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),7000,210.0449,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),8000,208.95804,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),9000,207.65248,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),10000,209.04282,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),11000,209.35284,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),12000,209.16875,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),13000,212.03563,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),14000,208.02971,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),15000,208.47481,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),16000,210.19417,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),17000,210.69115,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),18000,209.83318,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),19000,209.31883,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),20000,211.36395,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),21000,213.78426,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),22000,212.13835,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),23000,207.33365,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),24000,213.66885,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),25000,210.26367,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),26000,214.11053,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),27000,209.92636,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),28000,210.67805,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),29000,208.88046,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),30000,218.42592,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),31000,215.10188,nm^2,nm^2
line,overlay,sdt3-homo,sdt3-homo,sasa,9f34j1v6,9f34j1v6::Total,sdt3-homo / Total,Total,Time (ps),32000,213.91771,nm^2,nm^2
